user_id,subgroup
5f1dc5a3afdc0537b5de8979,59 8 69 51 7 64 35 37 57 70 83 85 33 55 29 71 50 66 1 72 65 40 75 76 61 36 15 32 56 79 60
5f432175a32a53813a24e1a5,5 3 7 51 59 8 40 4 50 72 66 36 71 1 85 13 55 38 34 39 83 37 23 6 19 73 53 60 79 61 29 69 70 15 35 57 24 25 77 45
5a93a2b844a1e4001eee7a26,59 64 33 69 66 65 76 37 57 32 75 7 83 51 72 35 63 8 58 78 52 61 81 56 70 54 50 42 43 71 34 28 84
617ec17d1a87ca000710ce8f,5 3 4 40 7 36 13 51 8 61 55 50 66 72 27 1 73 9 19 23 6 53 89 71 59 60 45 79 85 69 70 24 29 25 77 15 38 34 39
614c3233e64756000603277d,33 57 51 59 34 83 7 76 32 66 37 75 69 58 38 39 64 52 71 8 1 72 35 85 63 54 81 42 43 78 50 61 29 36 41 60 65 40
617ec606b2319400078213a6,51 7 8 59 3 5 13 55 34 69 40 71 50 66 72 29 1 85 83 37 38 39 33 70 23 6 61 36 35 57 60 79 19 53 4 15 73 45 75 76 64 24 32
617e4e997340280006cc7c42,51 1 15 8 55 59 13 50 72 7 4 29 14 66 83 85 37 40 71 16 61 28 69 70 5 45 35 57 24 9 36 79 23 3 6 53 27 60
5e7609ff9c4b140023a682de,7 59 51 3 72 8 5 50 66 37 55 34 40 71 1 85 69 83 38 39 13 33 23 6 61 29 36 70 60 19 79 53 35 57 73 15 32 4 75 76 64 65 24 45
617ec3341a87ca000710d12f,7 59 33 66 51 34 37 69 38 39 75 76 72 8 64 32 83 50 1 71 85 57 40 3 65 61 29 36 35 60 70 23 6 79 55 63 53 19 78 52
5f76c59b49fac44216498699,5 51 7 3 50 72 59 8 4 40 55 66 1 13 71 85 36 83 37 73 19 53 23 6 79 60 24 61 29 15 69 70 45 35 57 38 34 39
617ed3125833170007feaf2d,51 7 59 8 50 72 55 3 37 5 69 13 66 71 40 85 29 1 83 70 35 57 61 36 23 6 60 79 15 53 19 4 45 73 24 38 34 39 75 33 76 64
617ed802b231940007823531,7 51 59 8 3 34 33 5 37 55 38 39 69 40 71 50 66 72 29 1 85 13 83 32 70 23 6 61 36 60 35 57 19 79 53 15 75 76 64 73 4 65
617ed902b231940007823606,7 51 59 69 8 50 72 55 37 33 83 71 85 29 66 1 40 3 13 32 65 34 70 35 57 61 36 75 76 64 60 79 15 23 6 53 19 56 38 39 45
61287daf560d810006958251,7 34 51 5 3 38 39 59 72 40 50 66 33 8 71 1 36 85 83 37 4 77 55 23 6 19 60 61 29 53 73 32 79 69 70 25 35 57 13 15 75 76 64 78 65
