user_id,subgroup
5c6e7a8d6d180f002084a746,5 3 7 34 38 39 59 33 40 4 36 66 51 72 6 25 77 1 71 50 8 23 19 73 32 60 53 61 29 85 79 78 83 37 69 70 35 57 55 65
5e11926d54511e0d1440d024,5 3 4 40 36 7 50 51 72 38 34 39 19 61 66 1 59 73 25 77 23 6 53 13 20 29 71 22 67 89 90 55 56 9 24 60 79 78 45
59a1bbeb3ba5a507005d94bf,66 59 72 69 1 51 65 50 64 37 73 28 35 29 71 61 7 56 49 8 40 53 14 15 41 39 78 70 19 62 83 57 6 54
5a11254d516eb50051f99473,59 37 72 8 66 51 7 50 1 69 29 49 83 65 28 64 61 71 73 85 78 56 33 55 36 16 3 5 91 70 32 75 76 15 35 57 62 24 79 19
56702e0f13ef621200899d90,5 3 34 4 7 38 39 19 73 36 25 33 40 66 51 72 77 23 6 53 1 71 59 50 78 32 60 79 61 29 85 22 67
5aa795b871c70c001e28f2a9,7 59 66 51 72 1 3 50 37 69 71 40 61 33 65 8 34 60 23 6 29 36 32 83 85 38 39 75 76 64 79 35 57 78 53 55 19 70 15 56 5
5dc9632b31ab600020684cb3,33 57 66 69 76 64 51 75 32 59 83 34 52 58 37 35 81 38 39 72 7 63 54 42 43 41 78 87 80 8 71 65 50 61 29 1 36
603a408fedddaa46e5e847c0,3 5 34 7 4 38 39 72 23 6 36 40 33 50 66 51 25 77 1 71 59 55 19 73 53 60 32 61 29 79 85 78 83 37 69 70 8 22 67
5b41c29cbc0cfe001ecd42a8,59 34 51 3 38 39 7 33 71 5 37 72 8 83 50 66 55 40 1 32 85 69 77 78 23 6 60 61 29 36 19 79 53 73 70 35 57 75 76 64 65 25 15
6118d79bc367dc00060594ef,59 7 65 72 51 37 69 66 8 50 55 71 83 33 34 56 60 70 85 29 1 40 32 38 39 35 57 75 76 64 61 36 79 15 53 23 3 6 19
5d9189c2a7e8fe0020d81039,34 5 59 3 40 51 7 72 1 50 66 38 39 71 6 36 33 8 60 79 23 61 29 4 25 77 85 83 37 55 19 73 53 32 78 69 70 35 57 65
5b4d802ece476c001e4a92bf,5 59 3 4 7 34 71 1 36 40 38 39 51 8 60 85 23 6 50 66 72 25 77 33 13 55 19 73 53 61 29 79 32 69 70 83 37 78 35 57 15
568cdb6fe8ff9b20003d00ed,5 3 4 25 34 38 39 7 36 6 40 77 23 73 33 19 53 78 22 67 32 1 60 79 71 59
57870425d0c3030700414d39,5 59 3 34 33 38 39 7 51 72 71 50 66 36 4 37 78 32 40 1 25 77 85 83 8 23 6 19 60 73 61 29 53 79 69 70 75 76 64 35 57 65 55
58123bc6e6fe960700e102b6,7 51 5 3 59 72 8 34 40 50 66 38 39 35 57 71 1 36 85 83 37 55 4 33 13 23 6 19 60 61 29 53 79 69 70 73 32 15 65 24 25 77
57317210fad4ef0a006aef34,59 7 51 66 72 37 33 8 34 3 50 38 39 1 71 83 85 40 69 32 65 5 58 61 29 36 75 76 64 60 23 6 70 35 57 79 53 19 55 15 73 78
571c171c234ded0a00a42d25,34 38 39 7 33 59 66 51 3 72 50 37 5 8 32 40 71 1 85 83 69 77 78 23 6 61 29 36 60 19 79 53 75 76 64 70 73 35 57 25 55 65
5a220d1ca6d4a5001ec316a4,3 5 7 34 72 50 66 51 36 59 38 39 37 1 23 6 65 33 25 4 40 83 61 29 78 77 19 73 71 32 60 53 79 85 22 67 8 69 70
5741ce66fad4ef0a006bd851,51 7 59 37 50 72 55 8 3 85 83 66 40 5 71 61 29 1 69 65 62 79 53 36 60 35 57 15 70 19 23 6 24 73 45 28 56 4 38 34 39
60348943e950ee4623b5bf87,8 51 59 37 7 83 69 55 50 72 1 70 85 29 15 64 23 3 6 13 66 71 40 35 57 61 36 79 60 53 45 19 75 33 76 24 4 5 56 65 14 28
5ef2d87e0be54018a7bcdab0,66 51 7 59 8 72 37 33 69 50 1 83 64 65 34 15 75 76 35 57 85 29 71 32 40 38 39 14 70 61 36 55 60 79 23 3 6 53 56 63 19
5ef142e0b93e46e8668cc638,5 4 3 7 36 13 40 51 8 50 66 72 55 71 59 61 1 27 73 23 6 19 53 9 60 69 70 85 79 29 45 89 38 34 39 24 25 77 15 83 37
603231d4bf9554f2a0f3fc8a,7 34 59 33 66 51 38 39 72 37 3 8 50 32 1 71 83 85 40 65 5 69 75 76 64 61 29 36 60 23 6 79 19 53 78 35 57 73 55 70 25 77
5a7c4db81a0d09001ee03a35,34 38 39 33 7 59 66 51 3 72 37 5 8 32 40 71 1 50 36 85 83 77 69 78 23 6 60 61 29 19 79 53 75 76 64 73 25 70 35 57 65 55 4
5bbe0a3c3617e7001e562a28,7 59 51 33 66 57 69 8 1 71 75 76 37 72 34 60 79 64 32 83 35 50 29 85 40 38 39 65 61 36 70 55 63 23 3 6 53 78 15 52 19
60cf0704ad1a3c42aab8f51d,5 3 34 38 39 7 72 19 4 36 33 40 59 66 50 51 73 25 77 6 53 1 71 37 23 32 60 78 79 85 61 29 22 67 65 83 56 8 55
5eaf743f3e47cffda3221a7d,64 59 33 57 69 66 37 35 32 76 83 8 7 75 65 51 58 63 40 23 3 6 52 78 81 54 72 42 43 34 41 71 61 84
60cf3e396e549d1efce05b95,7 59 51 69 8 50 72 55 37 33 65 60 83 85 71 29 66 1 40 3 32 34 70 35 57 61 36 75 76 64 79 15 23 6 53 13 19 56 38 39 24
58b012045c4e6507007c4ff0,5 3 34 4 7 51 38 39 72 53 36 25 33 40 50 66 77 73 19 23 6 1 71 59 78 32 60 22 67 79 61 29 85
5e9feed3735b0173dfccac85,8 59 40 5 51 7 55 50 72 3 71 37 4 69 70 13 66 85 1 36 83 23 6 19 73 53 79 60 61 29 45 15 24 35 57
60d016e1f5d14a31f55ec6dc,34 7 51 38 39 3 33 59 72 5 40 50 66 37 8 23 6 71 1 36 32 85 83 69 77 60 61 29 19 53 79 73 70 35 57 75 76 64 55 25 65 15 4 78
5ab7463ddc2ab6001e26771b,34 3 7 33 51 5 38 39 59 72 50 66 8 40 1 71 32 36 85 83 37 77 55 4 23 6 19 60 61 29 53 73 79 25 69 70 35 57 65 75 76 64 78 15
54ef354db839040f0001608b,7 5 3 34 72 50 66 51 36 38 39 71 59 1 4 25 33 40 61 29 23 6 19 77 73 32 60 78 53 79 85 83 37 22 67 8 69 70 65
5fa5f6ab0c79eefbbd8bade3,51 7 5 3 59 72 34 8 40 50 66 38 39 33 15 71 1 36 85 83 37 55 4 23 6 19 60 61 29 53 79 73 69 70 32 35 57 13 25 77 65 75 76 64 24
5b8e8a35de22ba001ee7af15,5 55 3 50 72 7 4 13 40 51 8 59 15 36 61 66 71 1 27 73 9 45 19 23 6 53 89 24 69 70 79 60 85 29
59e87f43ef1581001e5c9a96,51 34 33 7 59 50 38 39 3 5 66 72 37 8 32 1 40 36 71 85 83 77 78 62 19 23 6 60 53 61 29 73 79 25 65 75 76 64 35 57 55 69 70 4
6018fcfd699913c0c3c25432,1 51 7 59 8 50 29 72 69 55 15 66 37 61 36 70 13 83 85 71 40 14 28 35 57 45 79 56 65 24 60 53 49 23 3 6
5ea04ffb735b01937cccf0e9,59 69 8 51 64 37 7 57 71 75 33 76 83 35 65 66 85 29 70 32 63 50 61 1 72 36 55 52 78 56 81 79
55f10bf48b6cae0f00ac8882,34 3 5 38 39 33 7 25 36 6 40 59 65 77 78 4 73 66 72 19 53 23 1 51 71 32 22 67 37 60 79 50 61 29
602c95d74b3734871880bb01,51 59 7 5 8 3 71 40 50 72 4 55 13 66 85 29 1 36 83 37 69 70 23 6 61 19 53 60 79 73 35 57 15 45 38 34 39 24
5a40efaae939a9001ed222a0,59 69 8 66 64 51 7 37 72 65 35 29 33 83 85 57 70 61 1 50 75 76 32 56 71 55 78 15 28 36 49 79
6061f4bc0a60ce1e971f5557,5 3 7 4 34 59 51 40 36 38 39 8 53 71 1 50 66 72 85 25 77 33 13 83 37 55 23 6 19 73 60 61 29 79 69 70 32 35 57 78 15
608a2403c79613f5062ebf11,13 51 8 55 7 4 50 72 40 15 1 5 61 27 66 59 85 29 9 69 70 45 23 3 6 24 71 14 89 53 35 57 19 73 79 83 37 36 60
5c3d8f09f699690021a18b96,5 3 51 7 72 34 50 66 38 39 59 6 1 36 40 8 23 61 29 4 25 77 71 85 33 83 37 55 73 19 53 60 79 32 78 65 69 70 35 57 15
60530fa47d8d93b2df1fae40,1 72 51 15 55 50 8 29 28 13 4 59 69 14 24 62 85 49 7 53 37 66 22 67 64 45 5 23 56 65 16 83 40 70 35 57 73
